word,DF,IDF,Mean_TF,Mean_TF-IDF
user,347,1.3260797381578298,0.6551724137931034,0.03667372843403683
the,295,1.5603004464868873,0.44482758620689655,0.02572561883759841
to,227,1.9383231034451756,0.3080459770114943,0.021459323387189488
a,193,2.1724145534680104,0.2632183908045977,0.02127033042816587
is,163,2.416143436505013,0.21379310344827587,0.019762639826951096
of,180,2.273018494406416,0.22988505747126436,0.018919401259540804
for,152,2.5169440772925054,0.20229885057471264,0.01875007819861929
and,147,2.5651992458997266,0.18850574712643678,0.017972845343413053
in,149,2.5457030702739294,0.1896551724137931,0.017416819641445445
i,114,2.9319815765713493,0.15517241379310345,0.016951481232010318
on,108,3.0099840885726223,0.135632183908046,0.014871184517241166
you,79,3.461090842558988,0.10574712643678161,0.014364523954491767
that,74,3.5554182251071405,0.09080459770114943,0.012214494428136515
it,70,3.635588573791124,0.09080459770114943,0.012167664899569143
this,78,3.4794693718738423,0.09195402298850575,0.012161614684461877
with,67,3.6987824002783185,0.08160919540229886,0.011524272441777825
trump,61,3.8341342531732048,0.07126436781609195,0.010807581249733326
are,59,3.8822285413742494,0.07471264367816093,0.010728108950756673
be,57,3.9319815765713493,0.06896551724137931,0.010040207678024191
not,57,3.9319815765713493,0.067816091954023,0.009483100336236795
as,46,4.241309634679078,0.06206896551724138,0.009462300136883959
have,49,4.150161746620882,0.05862068965517241,0.009194994704070567
just,47,4.210282739058453,0.05747126436781609,0.009174819268479005
my,49,4.150161746620882,0.05862068965517241,0.009152990702144913
so,43,4.3386068360339936,0.05172413793103448,0.008638128381480195
from,48,4.1799090900149345,0.05517241379310345,0.00860687050324492
at,45,4.273018494406416,0.054022988505747126,0.00841701176487329
how,41,4.407319586118007,0.04827586206896552,0.008306367659376547
was,41,4.407319586118007,0.04942528735632184,0.008158282375450665
we,41,4.407319586118007,0.04942528735632184,0.00814135793510016
all,38,4.516944077292505,0.04482758620689655,0.008117832206236077
by,43,4.3386068360339936,0.05057471264367816,0.008029852963786832
can,37,4.5554182251071405,0.04482758620689655,0.007759479275018421
about,37,4.5554182251071405,0.04597701149425287,0.007759235681819974
your,32,4.7648715907360915,0.040229885057471264,0.007256368739642847
its,34,4.6774087494857515,0.040229885057471264,0.007152742465818584
im,33,4.720477471377638,0.03793103448275862,0.006939306552618371
more,29,4.906890595608519,0.03333333333333333,0.006750429072247585
what,31,4.810675280349216,0.0367816091954023,0.0067443948254956405
has,33,4.720477471377638,0.03908045977011494,0.006733168016882479
people,32,4.7648715907360915,0.03908045977011494,0.00672325832295279
up,31,4.810675280349216,0.035632183908045977,0.0066595175557102775
he,32,4.7648715907360915,0.03908045977011494,0.0066568050269612275
his,26,5.064431872594999,0.034482758620689655,0.0064526911122948965
like,31,4.810675280349216,0.035632183908045977,0.006365111895335522
they,30,4.857980995127573,0.03793103448275862,0.006347670352295908
me,27,5.009984088572622,0.034482758620689655,0.006289663875417756
get,28,4.957516668678487,0.034482758620689655,0.0062689330255372485
will,32,4.7648715907360915,0.0367816091954023,0.006263307855361592
us,29,4.906890595608519,0.034482758620689655,0.006245843972768254
if,29,4.906890595608519,0.035632183908045977,0.005933018808943296
one,22,5.305439972098793,0.027586206896551724,0.005847941674774157
out,28,4.957516668678487,0.03218390804597701,0.005840174033310224
